table with row headers in column A and column headers in rows 3 through 6  (leading dots indicate sub-parts),,,,,,,,,,,,,,
,Total Population Change1,Natural Increase,Vital Events,,Net Migration,,,Total Population Change1,Natural Increase,Vital Events,,Net Migration,,
,,,Births,Deaths,Total,International2,Domestic,,,Births,Deaths,Total,International2,Domestic
".Gregory County, South Dakota",-86,-108,464,572,25,-1,26,-4,-4,49,53,-1,0,-1
".Haakon County, South Dakota",-38,-30,195,225,-7,0,-7,-3,9,20,11,-11,0,-11
".Hamlin County, South Dakota",265,477,"1,081",604,-213,71,-284,94,64,119,55,31,0,31
".Hand County, South Dakota",-239,-59,341,400,-185,7,-192,-49,9,37,28,-59,0,-59
".Hanson County, South Dakota",121,207,406,199,-86,-2,-84,89,28,37,9,60,0,60
".Harding County, South Dakota",43,77,153,76,-41,17,-58,46,10,16,6,35,0,35
".Hughes County, South Dakota",504,851,"2,185","1,334",-347,-33,-314,-157,67,228,161,-225,-2,-223
".Hutchinson County, South Dakota",-52,-65,953,"1,018",17,41,-24,-15,15,109,94,-29,1,-30
".Hyde County, South Dakota",-119,-26,145,171,-95,1,-96,30,9,18,9,21,0,21
".Jackson County, South Dakota",314,402,701,299,-88,14,-102,66,63,83,20,2,0,2
".Jerauld County, South Dakota",-58,-33,209,242,-26,35,-61,-13,0,20,20,-13,2,-15
".Jones County, South Dakota",-103,13,106,93,-117,0,-117,-25,4,12,8,-28,0,-28
".Kingsbury County, South Dakota",-208,-29,594,623,-184,16,-200,13,16,66,50,-1,1,-2
".Lake County, South Dakota","1,595",162,"1,215","1,053","1,411",61,"1,350",-258,16,129,113,-276,-3,-273
".Lawrence County, South Dakota","1,754",36,"2,158","2,122","1,697",299,"1,398",117,-9,224,233,127,17,110
".Lincoln County, South Dakota","16,305","5,354","7,459","2,105","10,812",29,"10,783","2,333",614,866,252,"1,710",-17,"1,727"
".Lyman County, South Dakota",26,336,646,310,-309,0,-309,-23,40,65,25,-62,0,-62
".McCook County, South Dakota",-32,45,727,682,-74,84,-158,-15,25,90,65,-40,4,-44
".McPherson County, South Dakota",-80,-101,217,318,22,-9,31,-22,-1,19,20,-20,-1,-19
".Marshall County, South Dakota",279,143,607,464,138,223,-85,14,32,73,41,-18,2,-20
".Meade County, South Dakota","2,892",982,"2,739","1,757","1,899",311,"1,588",128,50,257,207,78,-9,87
".Mellette County, South Dakota",18,96,336,240,-81,3,-84,27,10,36,26,16,0,16
".Miner County, South Dakota",-173,-64,227,291,-110,-3,-107,12,6,27,21,7,-1,8
".Minnehaha County, South Dakota","23,660","14,225","26,709","12,484","9,441","6,279","3,162","2,142","1,458","2,873","1,415",686,272,414
".Moody County, South Dakota",83,316,815,499,-234,138,-372,74,27,82,55,48,-3,51
".Oglala Lakota County, South Dakota",591,"1,641","2,983","1,342","-1,052",-29,"-1,023",-154,112,284,172,-266,-5,-261
".Pennington County, South Dakota","12,815","6,155","14,108","7,953","6,616",737,"5,879","1,825",575,"1,495",920,"1,240",-13,"1,253"
".Perkins County, South Dakota",-126,-63,320,383,-64,1,-65,-43,13,34,21,-57,0,-57
".Potter County, South Dakota",-181,-105,213,318,-75,8,-83,-53,-5,21,26,-47,1,-48
".Roberts County, South Dakota",247,576,"1,622","1,046",-324,59,-383,18,56,167,111,-35,2,-37
".Sanborn County, South Dakota",-11,64,310,246,-73,11,-84,-52,16,33,17,-69,0,-69
".Spink County, South Dakota",-39,41,727,686,-87,106,-193,-108,12,81,69,-121,-2,-119
".Stanley County, South Dakota",132,174,346,172,-41,0,-41,81,30,37,7,51,0,51
".Sully County, South Dakota",23,63,154,91,-44,10,-54,14,5,16,11,9,0,9
".Todd County, South Dakota",567,"1,514","2,455",941,-950,177,"-1,127",-68,107,238,131,-176,10,-186
".Tripp County, South Dakota",-208,41,678,637,-248,-11,-237,-50,30,86,56,-81,-1,-80
".Turner County, South Dakota",35,-116,849,965,154,39,115,-38,11,102,91,-49,1,-50
".Union County, South Dakota","1,534",464,"1,568","1,104","1,069",236,833,362,73,185,112,291,14,277
".Walworth County, South Dakota",-3,-61,681,742,57,138,-81,-42,13,78,65,-54,6,-60
".Yankton County, South Dakota",376,404,"2,489","2,085",-10,57,-67,55,54,261,207,3,1,2
".Ziebach County, South Dakota",-45,161,304,143,-207,5,-212,12,-2,23,25,14,0,14
".Anderson County, Tennessee","1,896","-1,296","7,386","8,682","3,262",423,"2,839",691,-140,792,932,834,51,783
".Bedford County, Tennessee","4,656","1,474","5,848","4,374","3,185",657,"2,528",567,196,678,482,371,88,283
".Benton County, Tennessee",-331,-827,"1,477","2,304",505,16,489,-86,-93,166,259,7,1,6
".Bledsoe County, Tennessee","2,190",-127,"1,129","1,256","2,246",108,"2,138",181,-38,116,154,218,22,196
".Blount County, Tennessee","9,990",-806,"11,680","12,486","10,830",544,"10,286","1,757",-159,"1,255","1,414","1,913",71,"1,842"
".Bradley County, Tennessee","9,184","1,663","11,066","9,403","7,537","1,101","6,436","1,060",127,"1,240","1,113",937,168,769
".Campbell County, Tennessee",-881,"-1,243","3,978","5,221",396,32,364,47,-143,438,581,192,23,169
".Cannon County, Tennessee",865,-148,"1,456","1,604","1,011",72,939,238,25,180,155,213,7,206
".Carroll County, Tennessee",-719,-983,"2,863","3,846",272,17,255,-208,-98,296,394,-112,0,-112
".Carter County, Tennessee",-992,"-1,660","4,753","6,413",708,53,655,-26,-287,473,760,262,6,256
".Cheatham County, Tennessee","1,557",573,"4,147","3,574","1,006",2,"1,004",165,48,451,403,118,-1,119
".Chester County, Tennessee",152,76,"1,723","1,647",82,61,21,52,22,181,159,32,7,25
".Claiborne County, Tennessee",-253,"-1,055","2,917","3,972",822,110,712,109,-94,333,427,205,22,183
".Clay County, Tennessee",-238,-364,688,"1,052",127,31,96,-62,-37,64,101,-27,2,-29
".Cocke County, Tennessee",362,"-1,106","3,510","4,616","1,496",-47,"1,543",146,-135,361,496,282,-10,292
".Coffee County, Tennessee","3,717",79,"6,221","6,142","3,668",-113,"3,781",643,42,700,658,603,-20,623
".Crockett County, Tennessee",-346,-126,"1,539","1,665",-211,62,-273,-66,-32,148,180,-34,6,-40
".Cumberland County, Tennessee","4,460","-2,362","5,042","7,404","6,768",223,"6,545",782,-331,512,843,"1,107",20,"1,087"
".Davidson County, Tennessee","67,586","43,644","92,092","48,448","23,538","27,741","-4,203","3,628","4,420","9,985","5,565",-748,"3,453","-4,201"
".Decatur County, Tennessee",-87,-519,"1,067","1,586",441,87,354,-36,-51,108,159,14,7,7
".DeKalb County, Tennessee","1,768",-170,"2,066","2,236","1,940",522,"1,418",357,-7,219,226,364,54,310
".Dickson County, Tennessee","4,298",712,"5,672","4,960","3,594",-47,"3,641",502,104,630,526,397,-10,407
".Dyer County, Tennessee","-1,171",188,"4,350","4,162","-1,349",52,"-1,401",-127,-13,445,458,-113,-1,-112
".Fayette County, Tennessee","2,694",295,"3,905","3,610","2,395",158,"2,237",577,-21,414,435,593,23,570
".Fentress County, Tennessee",561,-519,"1,748","2,267","1,090",-20,"1,110",201,-76,184,260,274,-1,275
".Franklin County, Tennessee","1,144",-862,"3,677","4,539","2,015",289,"1,726",273,-43,413,456,316,40,276
".Gibson County, Tennessee",-554,-600,"5,601","6,201",83,42,41,-38,-75,579,654,39,5,34
".Giles County, Tennessee",-12,-467,"2,865","3,332",464,311,153,18,-70,301,371,90,39,51
".Grainger County, Tennessee",664,-489,"2,094","2,583","1,158",-1,"1,159",183,-74,222,296,255,-2,257
".Greene County, Tennessee",244,"-2,254","5,954","8,208","2,548",113,"2,435",-95,-243,665,908,153,9,144
".Grundy County, Tennessee",-299,-418,"1,454","1,872",124,1,123,79,-19,158,177,97,0,97
".Hamblen County, Tennessee","2,400",315,"7,177","6,862","2,140",712,"1,428",305,56,780,724,253,59,194
".Hamilton County, Tennessee","31,327","6,726","38,812","32,086","24,504","3,715","20,789","3,511",495,"4,213","3,718","3,006",411,"2,595"
".Hancock County, Tennessee",-191,-293,634,927,109,7,102,59,-25,68,93,83,1,82
".Hardeman County, Tennessee","-2,195",-297,"2,396","2,693","-1,916",-7,"-1,909",-226,-71,218,289,-155,0,-155
".Hardin County, Tennessee",-356,-879,"2,517","3,396",543,108,435,-41,-119,237,356,80,13,67
".Hawkins County, Tennessee",-40,"-1,443","4,978","6,421","1,450",28,"1,422",73,-220,511,731,295,15,280
".Haywood County, Tennessee","-1,503",87,"1,951","1,864","-1,598",19,"-1,617",-43,-44,189,233,1,-1,2
".Henderson County, Tennessee",337,-3,"2,977","2,980",364,-31,395,134,-4,305,309,140,-3,143
".Henry County, Tennessee",-4,"-1,216","3,046","4,262","1,241",21,"1,220",9,-181,300,481,192,-5,197
".Hickman County, Tennessee",488,-94,"2,482","2,576",582,-24,606,171,-28,255,283,200,-7,207
".Houston County, Tennessee",-228,-222,769,991,-10,-1,-9,-33,-13,80,93,-19,-1,-18
".Humphreys County, Tennessee",47,-330,"1,934","2,264",384,-4,388,31,-24,230,254,55,-4,59
".Jackson County, Tennessee",152,-489,919,"1,408",638,0,638,9,-69,94,163,78,1,77
".Jefferson County, Tennessee","2,827",-846,"4,723","5,569","3,673",128,"3,545",483,-195,473,668,676,15,661
".Johnson County, Tennessee",-452,-665,"1,424","2,089",224,-39,263,14,-83,154,237,98,-6,104
".Knox County, Tennessee","38,053","8,473","48,218","39,745","29,610","5,854","23,756","4,055",606,"5,154","4,548","3,445",818,"2,627"
".Lake County, Tennessee",-816,-289,602,891,-531,4,-535,-391,-35,57,92,-360,0,-360
".Lauderdale County, Tennessee","-2,189",126,"2,785","2,659","-2,346",77,"-2,423",-364,18,283,265,-382,-1,-381
".Lawrence County, Tennessee","2,286",374,"5,275","4,901","1,928",24,"1,904",371,46,585,539,326,-5,331
".Lewis County, Tennessee",98,-98,"1,238","1,336",193,-18,211,194,-1,141,142,195,-1,196
".Lincoln County, Tennessee","1,012",-495,"3,331","3,826","1,536",130,"1,406",177,-47,386,433,226,14,212
".Loudon County, Tennessee","5,507",-929,"4,832","5,761","6,389",279,"6,110",986,-129,483,612,"1,112",30,"1,082"
".McMinn County, Tennessee","1,507",-827,"5,308","6,135","2,373",554,"1,819",458,-65,591,656,526,73,453
".McNairy County, Tennessee",-388,-752,"2,559","3,311",381,4,377,-136,-103,263,366,-31,2,-33
".Macon County, Tennessee","2,376",487,"3,006","2,519","1,893",201,"1,692",313,60,341,281,251,4,247
".Madison County, Tennessee",-319,"2,361","11,449","9,088","-2,629",565,"-3,194",381,208,"1,193",985,177,74,103
".Marion County, Tennessee",685,-504,"2,902","3,406","1,202",20,"1,182",309,-33,325,358,341,1,340
".Marshall County, Tennessee","3,764",505,"3,508","3,003","3,274",247,"3,027",569,67,411,344,500,15,485
".Maury County, Tennessee","15,455","2,669","10,651","7,982","12,672",418,"12,254","2,114",307,"1,244",937,"1,797",19,"1,778"
".Meigs County, Tennessee",656,-301,"1,127","1,428",957,-22,979,125,-21,133,154,146,-2,148
".Monroe County, Tennessee","2,047",-347,"4,570","4,917","2,411",151,"2,260",276,-91,484,575,367,-30,397
".Montgomery County, Tennessee","36,631","20,001","31,223","11,222","16,229","4,145","12,084","3,681","2,075","3,490","1,415","1,591",15,"1,576"
".Moore County, Tennessee",146,-117,488,605,266,66,200,31,9,59,50,22,16,6
".Morgan County, Tennessee",-583,-292,"1,851","2,143",-292,3,-295,-131,-30,199,229,-101,1,-102
".Obion County, Tennessee","-1,738",-384,"3,195","3,579","-1,353",9,"-1,362",-205,-89,328,417,-116,5,-121
".Overton County, Tennessee",159,-581,"2,161","2,742",756,10,746,173,-81,233,314,256,2,254
".Perry County, Tennessee",146,-123,925,"1,048",274,29,245,26,-2,102,104,28,7,21
".Pickett County, Tennessee",-38,-282,375,657,243,-14,257,-5,-32,35,67,28,-1,29
".Polk County, Tennessee",11,-589,"1,483","2,072",602,-13,615,-86,-69,166,235,-17,2,-19
".Putnam County, Tennessee","7,906",988,"8,198","7,210","6,942","1,978","4,964","1,614",98,879,781,"1,512",207,"1,305"
".Rhea County, Tennessee","1,363",-44,"3,578","3,622","1,421",235,"1,186",256,-17,388,405,272,9,263
".Roane County, Tennessee",-826,"-2,196","4,394","6,590","1,412",-53,"1,465",124,-252,473,725,377,-13,390
".Robertson County, Tennessee","5,494","2,141","8,153","6,012","3,369",463,"2,906",634,205,869,664,429,46,383
".Rutherford County, Tennessee","69,697","19,429","36,132","16,703","49,780","4,619","45,161","7,638","2,038","4,109","2,071","5,590",551,"5,039"
".Scott County, Tennessee",-164,-80,"2,470","2,550",-70,-11,-59,40,-30,257,287,72,0,72
".Sequatchie County, Tennessee",905,6,"1,453","1,447",900,-19,919,135,-2,166,168,137,-1,138
".Sevier County, Tennessee","8,530",410,"9,656","9,246","8,085","1,395","6,690",355,-38,"1,025","1,063",399,169,230
".Shelby County, Tennessee","9,484","51,292","124,924","73,632","-41,853","12,632","-54,485",801,"4,410","12,894","8,484","-3,609","1,581","-5,190"
".Smith County, Tennessee","1,007",104,"2,091","1,987",905,-8,913,178,-9,223,232,187,-3,190
".Stewart County, Tennessee",402,-236,"1,241","1,477",640,26,614,96,-38,136,174,135,-7,142
".Sullivan County, Tennessee","1,548","-4,480","14,283","18,763","6,173",-165,"6,338",749,-450,"1,517","1,967","1,202",-18,"1,220"
".Sumner County, Tennessee","30,649","5,316","18,985","13,669","25,183",884,"24,299","3,793",472,"2,173","1,701","3,316",141,"3,175"
".Tipton County, Tennessee",593,"1,380","6,667","5,287",-773,176,-949,23,55,660,605,-29,1,-30
".Trousdale County, Tennessee","3,420",44,916,872,"3,337",-2,"3,339",251,16,111,95,234,0,234
".Unicoi County, Tennessee",-428,"-1,013","1,491","2,504",604,78,526,61,-108,173,281,169,12,157
".Union County, Tennessee",865,-68,"1,905","1,973",939,12,927,283,-13,201,214,295,4,291
".Van Buren County, Tennessee",314,-52,576,628,360,0,360,109,14,69,55,95,0,95
".Warren County, Tennessee","1,453",-63,"4,408","4,471","1,547",339,"1,208",451,2,473,471,450,37,413
".Washington County, Tennessee","6,312",-641,"12,079","12,720","6,973","1,176","5,797",714,-142,"1,223","1,365",860,182,678
".Wayne County, Tennessee",-352,-582,"1,292","1,874",242,6,236,38,-72,125,197,111,1,110
".Weakley County, Tennessee","-1,687",-286,"3,177","3,463","-1,409",251,"-1,660",-85,-48,311,359,-34,34,-68
".White County, Tennessee","1,501",-626,"2,768","3,394","2,134",40,"2,094",259,-77,292,369,335,5,330
".Williamson County, Tennessee","55,135","9,696","20,125","10,429","45,197","4,011","41,186","6,434","1,032","2,357","1,325","5,409",574,"4,835"
".Wilson County, Tennessee","30,595","4,074","13,543","9,469","26,273","1,068","25,205","3,703",468,"1,635","1,167","3,226",156,"3,070"
".Anderson County, Texas",-717,-752,"5,460","6,212",67,293,-226,-239,-166,588,754,-72,32,-104
".Andrews County, Texas","3,919","1,488","2,782","1,294","2,381",190,"2,191",694,97,286,189,597,14,583
".Angelina County, Texas",-56,"2,576","10,851","8,275","-2,578",241,"-2,819",-95,74,"1,071",997,-167,6,-173
".Aransas County, Texas",352,-969,"2,240","3,209","1,255",-18,"1,273",64,-172,193,365,236,-11,247
".Archer County, Texas",-508,-194,687,881,-318,10,-328,-147,-74,70,144,-72,0,-72
".Armstrong County, Texas",-14,-63,189,252,48,10,38,8,-1,19,20,10,0,10
".Atascosa County, Texas","6,230","2,562","6,250","3,688","3,655",39,"3,616",831,275,710,435,559,8,551
".Austin County, Texas","1,620",616,"3,133","2,517","1,018",210,808,67,54,328,274,15,2,13
".Bailey County, Texas",-165,604,"1,139",535,-783,297,"-1,080",-15,85,124,39,-100,23,-123
".Bandera County, Texas","2,625",-429,"1,574","2,003","3,043",43,"3,000",320,-54,185,239,373,3,370
".Bastrop County, Texas","14,506","3,131","9,195","6,064","11,287",-91,"11,378","2,128",366,"1,093",727,"1,761",-48,"1,809"
".Baylor County, Texas",-217,-212,348,560,-5,-1,-4,-64,-15,32,47,-49,0,-49
".Bee County, Texas",704,"1,029","3,385","2,356",-320,32,-352,98,84,318,234,13,-5,18
".Bell County, Texas","52,765","38,172","57,476","19,304","14,304","10,728","3,576","7,527","3,636","5,940","2,304","3,860",115,"3,745"
".Bexar County, Texas","288,773","131,611","249,296","117,685","156,283","42,700","113,583","22,367","12,520","26,736","14,216","9,832","2,339","7,493"
".Blanco County, Texas","1,448",-276,826,"1,102","1,715",118,"1,597",283,-56,75,131,337,4,333
".Borden County, Texas",13,12,55,43,-1,0,-1,7,0,5,5,6,0,6
".Bosque County, Texas",468,-577,"1,719","2,296","1,044",27,"1,017",56,-68,182,250,123,3,120
".Bowie County, Texas",681,"1,748","11,081","9,333","-1,014",407,"-1,421",-443,71,"1,117","1,046",-514,17,-531
".Brazoria County, Texas","61,147","22,962","43,568","20,606","37,995","3,767","34,228","5,377","2,183","4,681","2,498","3,196",171,"3,025"
".Brazos County, Texas","34,350","15,882","24,944","9,062","18,398","12,241","6,157","3,430","1,479","2,621","1,142","1,954","1,023",931
".Brewster County, Texas",-29,243,954,711,-279,36,-315,-69,17,87,70,-85,2,-87
".Briscoe County, Texas",-91,-42,122,164,-52,11,-63,34,3,12,9,30,1,29
".Brooks County, Texas",-130,333,"1,082",749,-468,386,-854,-6,24,102,78,-31,41,-72
".Brown County, Texas",-242,-684,"3,809","4,493",469,211,258,44,-58,382,440,104,13,91
".Burleson County, Texas","1,256",-76,"1,868","1,944","1,336",291,"1,045",108,-9,209,218,115,28,87
".Burnet County, Texas","5,444",14,"4,397","4,383","5,412",-9,"5,421",811,-22,468,490,832,-22,854
".Caldwell County, Texas","5,609","1,775","4,759","2,984","3,844",187,"3,657",503,186,552,366,318,21,297
".Calhoun County, Texas",-92,757,"2,649","1,892",-845,281,"-1,126",-214,44,262,218,-259,8,-267
".Callahan County, Texas",398,-286,"1,300","1,586",693,54,639,-47,-30,143,173,-16,5,-21
".Cameron County, Texas","16,948","41,223","65,142","23,919","-24,410","4,200","-28,610","1,024","3,414","6,202","2,788","-2,396",11,"-2,407"
".Camp County, Texas",693,380,"1,704","1,324",317,339,-22,111,47,178,131,65,20,45
".Carson County, Texas",-258,-71,519,590,-188,19,-207,-81,-12,43,55,-68,0,-68
".Cass County, Texas",-443,-601,"3,151","3,752",171,71,100,-80,-103,302,405,24,6,18
".Castro County, Texas",-533,558,"1,092",534,"-1,111",361,"-1,472",-58,47,104,57,-105,24,-129
".Chambers County, Texas","8,730","2,177","4,683","2,506","6,508",470,"6,038","1,610",286,561,275,"1,325",35,"1,290"
".Cherokee County, Texas","1,812","1,996","6,916","4,920",-141,156,-297,265,169,722,553,97,3,94
".Childress County, Texas",265,57,690,633,200,26,174,-9,17,66,49,-26,4,-30
".Clay County, Texas",-283,-302,791,"1,093",17,68,-51,23,-47,75,122,70,7,63
".Cochran County, Texas",-274,168,409,241,-450,126,-576,22,31,41,10,-9,14,-23
".Coke County, Texas",70,-165,296,461,238,-3,241,32,-11,35,46,44,-1,45
".Coleman County, Texas",-718,-419,782,"1,201",-294,40,-334,-192,-35,83,118,-157,3,-160
".Collin County, Texas","253,311","63,450","99,998","36,548","188,656","43,283","145,373","30,423","6,343","11,299","4,956","24,052","4,100","19,952"
".Collingsworth County, Texas",-137,1,349,348,-143,22,-165,-22,-5,29,34,-16,-2,-14
".Colorado County, Texas",621,-57,"2,371","2,428",693,565,128,188,10,257,247,178,62,116
".Comal County, Texas","47,689","3,056","13,238","10,182","44,119","1,051","43,068","8,068",347,"1,589","1,242","7,685",85,"7,600"
".Comanche County, Texas",-325,-203,"1,397","1,600",-119,112,-231,95,-43,139,182,138,7,131
".Concho County, Texas","-1,361",-52,236,288,"-1,338",305,"-1,643",43,-5,24,29,48,26,22
".Cooke County, Texas","2,821","1,240","4,979","3,739","1,584",361,"1,223",753,113,530,417,639,23,616
".Coryell County, Texas",477,"5,010","9,130","4,120","-4,698","2,683","-7,381","1,210",427,895,468,778,9,769
".Cottle County, Texas",-108,-79,133,212,-29,0,-29,16,1,13,12,16,0,16
".Crane County, Texas",422,321,651,330,92,69,23,42,36,59,23,7,7,0
".Crockett County, Texas",-255,119,445,326,-377,46,-423,25,8,31,23,17,3,14
".Crosby County, Texas",-319,42,691,649,-364,17,-381,-27,-1,61,62,-26,1,-27
".Culberson County, Texas",-227,127,273,146,-361,9,-370,-23,12,26,14,-36,0,-36
".Dallam County, Texas",587,960,"1,340",380,-375,453,-828,-16,126,151,25,-141,53,-194
".Dallas County, Texas","268,086","218,560","362,631","144,071","50,754","110,494","-59,740","6,166","21,327","38,374","17,047","-15,147","9,242","-24,389"
".Dawson County, Texas","-1,105",447,"1,710","1,263","-1,597",162,"-1,759",123,54,181,127,70,10,60
".Deaf Smith County, Texas",-826,"1,765","3,115","1,350","-2,622",184,"-2,806",-165,161,320,159,-327,-2,-325
".Delta County, Texas",99,-105,594,699,201,2,199,-1,4,65,61,-5,0,-5
".Denton County, Texas","224,650","58,389","89,596","31,207","164,349","20,859","143,490","28,466","5,650","9,893","4,243","22,716","1,663","21,053"
".DeWitt County, Texas",63,-52,"2,312","2,364",124,30,94,54,-3,229,232,57,-2,59
".Dickens County, Texas",-230,-61,179,240,-176,10,-186,-7,-4,16,20,-4,0,-4
".Dimmit County, Texas",128,650,"1,486",836,-539,45,-584,-71,39,124,85,-110,-2,-108
".Donley County, Texas",-448,-146,308,454,-307,20,-327,-37,-6,33,39,-32,2,-34
".Duval County, Texas",-620,310,"1,512","1,202",-950,37,-987,10,18,142,124,-9,-1,-8
".Eastland County, Texas",-222,-473,"1,862","2,335",264,113,151,41,-58,187,245,99,0,99
".Ector County, Texas","29,087","15,113","26,048","10,935","13,561","2,296","11,265","4,263","1,687","2,915","1,228","2,562",238,"2,324"
".Edwards County, Texas",-70,16,211,195,-86,2,-88,24,3,18,15,20,-1,21
".Ellis County, Texas","35,216","8,562","19,445","10,883","26,585",824,"25,761","5,820",930,"2,272","1,342","4,880",39,"4,841"
".El Paso County, Texas","38,605","73,839","121,185","47,346","-35,484","17,728","-53,212","2,413","6,065","11,617","5,552","-3,651",167,"-3,818"
".Erath County, Texas","4,803","1,459","4,475","3,016","3,307",92,"3,215",475,145,480,335,329,-7,336
".Falls County, Texas",-566,181,"1,889","1,708",-751,40,-791,66,20,186,166,47,-3,50
".Fannin County, Texas","1,604",-791,"3,105","3,896","2,427",329,"2,098",329,-116,321,437,446,41,405
".Fayette County, Texas",794,-622,"2,222","2,844","1,436",87,"1,349",68,-54,237,291,123,5,118
".Fisher County, Texas",-148,-113,347,460,-37,48,-85,9,-9,36,45,20,6,14
".Floyd County, Texas",-734,130,721,591,-879,51,-930,-71,18,70,52,-89,2,-91
".Foard County, Texas",-181,-79,101,180,-107,2,-109,-36,-6,6,12,-31,0,-31
".Fort Bend County, Texas","226,989","56,081","83,280","27,199","169,327","44,013","125,314","23,607","5,770","9,532","3,762","17,847","4,360","13,487"
".Franklin County, Texas",124,-61,"1,014","1,075",188,6,182,-53,-20,115,135,-32,0,-32
".Freestone County, Texas",-100,23,"2,019","1,996",-107,112,-219,-72,-4,219,223,-66,13,-79
".Frio County, Texas","3,089","1,071","2,322","1,251","2,001","1,825",176,95,93,251,158,1,236,-235
".Gaines County, Texas","3,966","2,698","3,760","1,062","1,268",745,523,672,309,430,121,362,67,295
".Galveston County, Texas","50,827","13,223","37,105","23,882","37,306","4,802","32,504","4,281","1,009","3,944","2,935","3,278",329,"2,949"
".Garza County, Texas",-232,114,573,459,-362,383,-745,-14,18,52,34,-32,38,-70
".Gillespie County, Texas","2,160",-919,"2,315","3,234","3,079",272,"2,807",286,-125,248,373,409,12,397
".Glasscock County, Texas",183,81,140,59,100,80,20,18,8,16,8,11,9,2
".Goliad County, Texas",448,-75,650,725,521,-13,534,70,10,72,62,60,-1,61
".Gonzales County, Texas","1,026",832,"2,689","1,857",202,-82,284,56,74,272,198,-16,-23,7
".Gray County, Texas",-651,469,"2,876","2,407","-1,152",90,"-1,242",-165,5,259,254,-171,-1,-170
".Grayson County, Texas","15,335","1,360","14,334","12,974","14,009","1,313","12,696","2,425",136,"1,630","1,494","2,283",90,"2,193"
".Gregg County, Texas","2,198","5,009","16,799","11,790","-2,763","1,196","-3,959",694,318,"1,625","1,307",379,23,356
".Grimes County, Texas","2,299",379,"2,939","2,560","1,928",116,"1,812",589,60,306,246,529,11,518
".Guadalupe County, Texas","35,320","7,110","16,403","9,293","27,909",765,"27,144","3,571",682,"1,840","1,158","2,887",21,"2,866"
".Hale County, Texas","-2,800","1,667","4,510","2,843","-4,540",142,"-4,682",-225,128,427,299,-354,0,-354
".Hall County, Texas",-389,-155,261,416,-236,3,-239,-61,-3,24,27,-58,-1,-57
".Hamilton County, Texas",-51,-428,833,"1,261",380,63,317,-16,-25,91,116,10,6,4
".Hansford County, Texas",-214,254,712,458,-474,242,-716,-71,39,74,35,-112,23,-135
".Hardeman County, Texas",-206,-57,359,416,-154,65,-219,4,-9,31,40,12,6,6
".Hardin County, Texas","2,967","1,164","6,371","5,207","1,850",12,"1,838",495,66,661,595,431,-3,434
".Harris County, Texas","620,149","407,273","637,975","230,702","213,262","267,216","-53,954","33,280","38,765","66,937","28,172","-5,560","24,889","-30,449"
".Harrison County, Texas",913,"1,649","7,583","5,934",-708,514,"-1,222",-31,24,725,701,-53,40,-93
".Hartley County, Texas",-486,205,568,363,-710,139,-849,-35,39,64,25,-72,13,-85
".Haskell County, Texas",-244,-329,424,753,79,344,-265,-41,-24,42,66,-16,36,-52
".Hays County, Texas","73,088","12,673","21,663","8,990","59,451","2,307","57,144","7,485","1,491","2,638","1,147","5,963",212,"5,751"
".Hemphill County, Texas",12,245,554,309,-240,54,-294,-26,23,43,20,-48,1,-49
".Henderson County, Texas","4,159","-1,376","8,297","9,673","5,569",241,"5,328",634,-211,894,"1,105",845,9,836
".Hidalgo County, Texas","93,943","105,539","143,366","37,827","-11,366","11,748","-23,114","6,409","9,457","14,054","4,597","-3,056",-18,"-3,038"
".Hill County, Texas","1,561",-92,"3,774","3,866","1,672",120,"1,552",484,-23,404,427,506,-4,510
".Hockley County, Texas",94,993,"2,927","1,934",-897,80,-977,50,105,306,201,-55,-1,-54
".Hood County, Texas","10,480",-650,"5,519","6,169","11,054",342,"10,712","1,466",-109,627,736,"1,567",2,"1,565"
".Hopkins County, Texas","1,921",640,"4,239","3,599","1,290",-70,"1,360",346,58,444,386,287,-9,296
".Houston County, Texas",-763,-655,"2,115","2,770",-102,113,-215,-100,-91,209,300,-8,6,-14
".Howard County, Texas","1,652",660,"4,210","3,550",961,838,123,739,89,438,349,649,81,568
".Hudspeth County, Texas","1,410",215,387,172,"1,179",425,754,98,20,37,17,76,58,18
".Hunt County, Texas","12,450","1,998","10,401","8,403","10,448",889,"9,559","1,988",225,"1,206",981,"1,759",73,"1,686"
".Hutchinson County, Texas","-1,313",470,"2,677","2,207","-1,790",82,"-1,872",-181,41,256,215,-224,2,-226
".Irion County, Texas",-61,12,138,126,-75,0,-75,20,4,15,11,17,0,17
".Jack County, Texas",-106,42,876,834,-147,20,-167,110,6,82,76,102,0,102
".Jackson County, Texas",685,482,"1,878","1,396",203,98,105,-74,66,221,155,-140,11,-151
".Jasper County, Texas",-181,154,"4,046","3,892",-338,23,-361,-240,-8,422,430,-231,-12,-219
".Jeff Davis County, Texas",-68,-32,134,166,-39,24,-63,31,-3,15,18,34,2,32
".Jefferson County, Texas",-712,"9,657","32,457","22,800","-10,447","5,347","-15,794","-1,669",785,"3,323","2,538","-2,464",359,"-2,823"
".Jim Hogg County, Texas",-100,263,761,498,-365,158,-523,8,-1,56,57,9,20,-11
".Jim Wells County, Texas",-361,"1,982","5,691","3,709","-2,353",383,"-2,736",-274,103,510,407,-377,47,-424
